File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/13_7.json,68,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,50,14160,29475.25272,74045.48975,4838.109663,585
data/13_7.json,78,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,74,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,76,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,72,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,44,16210,27747.23062,74429.20148,4554.469672,585
data/13_7.json,46,15160,28440.98011,72765.93053,4668.342694,585
data/13_7.json,70,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,40,24810,26637.47942,103493.7008,4368.576522,584.5
data/13_7.json,40,25310,26756.06468,105407.3595,4384.27098,584
data/13_7.json,40,24310,26604.62686,101828.2908,4370.653487,585.5
data/13_7.json,40,24560,26623.05734,102701.103,4369.946281,585
data/13_7.json,42,18710,27121.21028,82261.81971,4451.713808,585
data/13_7.json,42,18210,27045.24281,79994.15537,4446.832853,586
data/13_7.json,52,13910,29843.73921,75444.75507,4902.78039,585.5
data/13_7.json,52,14010,29984.11223,76219.30833,4921.634584,585
data/13_7.json,52,14160,30112.12621,76942.74466,4934.19801,584
data/13_7.json,58,13910,30512.93005,84269.74593,5008.435488,585
data/13_7.json,62,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,64,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,48,14510,28943.75641,72808.06516,4750.869108,585
