dists,speed
4141,52.5279609
4146,51.3755965
4149.999512,50.4349224
4154,49.4762903
4158,48.498957
4161,47.7529938
4165,46.7401428
4168.999512,45.7053789
4172,44.9137163
4175.999512,43.8368681
4179,43.0120659
4181.999512,42.1721778
4186,41.0253558
4188.999512,40.1445818
4192,39.2445355
4194.999512,38.3241514
4198,37.3812414
4200.999512,36.4164602
4203,35.761421
4206,34.7613437
4208.999512,33.7394565
4211,33.0484933
4213.999512,31.9984332
4216,31.2883945
4219,30.2185573
4220.999512,29.5185808
4223,28.8483013
4226,27.8695778
4227.999512,27.2413531
4230,26.6499625
4232,26.0899975
4233.999512,25.5435337
4236,25.0161644
4237,24.7727325
4239,24.2906219
4240.999512,23.8796355
4243,23.6277415
4245,23.4359455
4246.999512,23.4359455
4249,23.4359455
4251,23.519865
4253,23.8380814
4254.999512,24.2824211
4257,24.6479988
4259,25.2511082
4260.999512,26.0417633
4263,26.8591042
4266,27.4932804
4267.999512,28.2223339
4270,28.5254194
4272,28.3046834
4274.999512,27.8965404
4277,27.6683581
4279,27.4515702
4280.999512,27.3053328
4284,27.3050308
4286,27.3050308
4287.999512,27.7221413
4291,27.8486557
4292.999512,28.4602566
4296,29.6601868
4298,31.4021549
4300.999512,33.3790092
4303,35.6944962
4306,36.7348226
4307.999512,36.6472244
4311,36.6472244
4313.999512,36.6472244
4317,38.9194829
4319,38.5245748
4322,38.0208598
4325,37.6184072
4328,37.2731056
4331,37.059639
4333.999512,37.059639
4337,37.059639
4338.999512,37.6570702
4342,38.5959778
4345,39.3512344
4348,40.6828995
4352,42.4768944
4355,44.3962402
4358,46.049984
4361,48.0994644
4364,47.9862524
4368,47.4269038
4371,46.9622407
4374,46.473288
4378,45.7897431
4381,45.2666812
4384.999512,44.5866251
4388,44.111203
4391.999512,43.5205611
4395,43.112071
4398.999512,42.6319704
4402,42.3404876
4404.999512,42.1122652
4409,41.828521
4411.999512,41.6903169
4416,41.6899071
4418.999512,41.6899071
4423,42.0375252
4425.999512,42.6299667
4430,43.1380463
4434,44.077034
4437,45.4455414
4441,47.1168442
4444,47.8334998
4448,47.3196626
4451.999512,46.6405355
4455,46.0405057
4458.999512,45.1506094
4462,44.4464987
4466,43.4778312
4470,42.5934715
4473,41.9053905
4476,41.1439267
4480,40.0909267
4483,39.3008909
4486,38.5394977
4490,37.5796227
4493,36.9159101
4496,36.3030462
4499,35.758702
4502,35.310828
4504.999512,34.9757158
